condition_id,view,difficulty,condition_split,source_frame,source_camera,pose_index,pose_energy,source_condition,source_condition_sha256,full_body_uncropped,hand_screening_status,canonical_gate_view
cond_000512,front,easy,train,797,camera_000512,128,0.4445918342407007,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000512.png,34a36ae63821be6f1b65b2aefac5061f8a48c6e95bd97311a6eb88ddad7823ba,True,PASS_SCREENED,False
cond_000660,front,easy,train,1028,camera_000660,165,0.46150281375403407,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000660.png,84615dfd4daac5c45cfd49924b751ea820877a91c9df1381e1996ee79618b786,True,PASS_SCREENED,False
cond_000712,front,easy,train,1109,camera_000712,178,0.4747556812306651,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000712.png,0a9ed42065d8e5bfe4efbd44fe51c675a6ed6c4fd042660c292e61a911420ccc,True,PASS_SCREENED,False
cond_000432,front,medium,train,673,camera_000432,108,0.4857076066944446,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000432.png,6de8948cd265168e3538fad8b20f3a8f3605917c317a59ed0f504001f62b8deb,True,PASS_SCREENED,False
cond_000332,front,medium,train,517,camera_000332,83,0.500586348363732,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000332.png,2c6ca8c195e9971d40e5fef63be5e07c035849cda711e98c52b2ae41c8e6e82b,True,PASS_SCREENED,False
cond_000748,front,medium,validation,1165,camera_000748,187,0.5162282412731756,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000748.png,0fd34cb654c4f260e4274f8ae5637a314cf7525f2bca522bfffd600e4858d6fc,True,PASS_SCREENED,False
cond_000000,front,hard,train,0,camera_000000,0,0.5522830030688758,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000000.png,e91b65b03b5c327f68592633c391821bbff788646ba9af380ebbf6617ad85f6c,True,PASS_SCREENED,True
cond_000012,front,hard,novel_pose_test,19,camera_000012,3,0.6168120893369157,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000012.png,83d4414e9281786b2810f623beee20b268a3da021da128acf402eea29de63703,True,PASS_SCREENED,False
cond_001710,back,easy,train,2660,camera_001710,427,0.4529900357999012,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_001710.png,e594d65c41a87c2c80cd5021b9194cd5cfe598446cff63e456ae5e4aa3cf7708,True,PASS_SCREENED,False
cond_000714,back,easy,train,1109,camera_000714,178,0.4747556812306651,E:\data_pre\conditions_2000_candidates_hq\images\cond_000714.png,41913dfc054ab317642ad83d697264e313a0bd15e3b42c69215b726c76a5cf82,True,PASS_ACCEPTED_UNION_VISUAL_REVIEW,False
cond_000634,back,easy,train,984,camera_000634,158,0.49958784754173624,E:\data_pre\conditions_2000_candidates_hq\images\cond_000634.png,3baa09a0a11dfd695eeaf0d8f15d0656101e24437c33363ffd8d7b93bd98836e,True,PASS_ACCEPTED_UNION_VISUAL_REVIEW,False
cond_000382,back,medium,train,592,camera_000382,95,0.5128224883735916,E:\data_pre\conditions_2000_candidates_hq\images\cond_000382.png,fcafef8472b8a1051df783d4f6fe6f21f8ff81076896714e978f159c2c6ab35d,True,PASS_ACCEPTED_UNION_VISUAL_REVIEW,False
cond_000390,back,medium,train,604,camera_000390,97,0.5260362906175046,E:\data_pre\conditions_2000_candidates_hq\images\cond_000390.png,9e700ed47ec521f06afe3dcbc1d9ed303205a405b5306c21afec7ba6f5375881,True,PASS_ACCEPTED_UNION_VISUAL_REVIEW,False
cond_000626,back,medium,validation,972,camera_000626,156,0.534553066781329,E:\data_pre\conditions_2000_candidates_hq\images\cond_000626.png,8667612cfec2a35c7096a87db6d1ce5411c706478d42ab384ea4219be7c8ac3d,True,PASS_ACCEPTED_UNION_VISUAL_REVIEW,False
cond_000318,back,hard,train,492,camera_000318,79,0.5420789919630501,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000318.png,2c06541861ff5bed8352e570f4a15d0df6562de106b468bcc26b2754f9d12665,True,PASS_SCREENED,True
cond_000322,back,hard,novel_pose_test,498,camera_000322,80,0.576392878870189,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000322.png,1695a156d4dac19321cf0e22ff2d7b7eabeed259815f13890debbd8054532df0,True,PASS_SCREENED,False
cond_000225,left,easy,train,349,camera_000225,56,0.45590964833488584,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000225.png,69b852ae11ca2146d0d9583a48759ab0b84d7a7af59c1518fc1f85a9ae680df0,True,PASS_SCREENED,False
cond_000077,left,easy,train,118,camera_000077,19,0.4780998433795469,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000077.png,4c65ca6bb5efee7b28d3f0ffc831e57aafd12d9e1f648870fe2657bcc5db8287,True,PASS_SCREENED,False
cond_000101,left,easy,train,156,camera_000101,25,0.48785351074443195,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000101.png,57a9faf6c73b41d5e09b34230ae9eea637ff3165e7a5e2e21ac12b245ec29855,True,PASS_SCREENED,False
cond_000133,left,medium,train,206,camera_000133,33,0.48800254838835244,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000133.png,2adb90e414353b358745ef30ce58fbff85ad9e5d7c1e67ff42c50a9d5431e466,True,PASS_SCREENED,False
cond_000085,left,medium,train,131,camera_000085,21,0.49402759828942266,E:\data_pre\conditions_300_hand_strict_candidates\images\cond_000085.png,5dbe5ccb1873e79b7876853adfe9ce38e7156495ebdc0ce817e5522a566060a0,True,PASS_SCREENED,False
